HGNC ID	Approved Symbol	Approved Name	Previous Symbols	Synonyms	Chromosome	Entrez Gene ID	RefSeq IDs
HGNC:28515	MAGEB18	MAGE family member B18		MGC33889	Xp21.3	286514	NM_173699
HGNC:6812	MAGEC1	MAGE family member C1		MAGE-C1, CT7, MGC39366, CT7.1	Xq27.2	9947	NM_005462
HGNC:13574	MAGEC2	MAGE family member C2	MAGEE1	CT10, MAGE-C2, HCA587	Xq27.2	51438	NM_016249
HGNC:23798	MAGEC3	MAGE family member C3		HCA2, MAGE-C3, CT7.2	Xq27.2	139081	NM_138702
HGNC:6813	MAGED1	MAGE family member D1		NRAGE, DLXIN-1	Xp11.22	9500	NM_001005332
HGNC:16353	MAGED2	MAGE family member D2		JCL-1, BCG1, 11B6, MAGE-D2, HCA10, MAGED, MGC8386	Xp11.21	10916	NM_014599
HGNC:23793	MAGED4	MAGE family member D4		MAGE1, MGC3210, KIAA1859, MAGE-E1	Xp11.22	728239	NM_001098800
HGNC:22880	MAGED4B	MAGE family member D4B			Xp11.22	81557	
HGNC:24934	MAGEE1	MAGE family member E1		KIAA1587, DAMAGE	Xq13.3	57692	NM_020932
HGNC:24935	MAGEE2	MAGE family member E2		HCA3	Xq13.3	139599	NM_138703
HGNC:29639	MAGEF1	MAGE family member F1			3q27.1	64110	NM_022149
HGNC:24092	MAGEH1	MAGE family member H1		APR1	Xp11.21	28986	NM_014061
HGNC:6814	MAGEL2	MAGE family member L2	NDNL1	nM15	15q11.2	54551	NM_019066
HGNC:946	MAGI1	membrane associated guanylate kinase, WW and PDZ domain containing 1	BAIAP1	BAP1, MAGI-1, TNRC19, AIP3, WWP3	3p14.1	9223	NM_004742
HGNC:40091	MAGI1-AS1	MAGI1 antisense RNA 1			3p14.1	100873983	
HGNC:42436	MAGI1-IT1	MAGI1 intronic transcript 1			3p14.1	151877	
HGNC:18957	MAGI2	membrane associated guanylate kinase, WW and PDZ domain containing 2		AIP1, ARIP1, KIAA0705, ACVRIP1, MAGI-2	7q21.11	9863	NM_012301
HGNC:40860	MAGI2-AS1	MAGI2 antisense RNA 1			7q21.11		
HGNC:40861	MAGI2-AS2	MAGI2 antisense RNA 2			7q21.11		
HGNC:40862	MAGI2-AS3	MAGI2 antisense RNA 3		ENST00000414797	7q21.11	100505881	NR_038343
HGNC:30058	MAGI2-IT1~withdrawn	entry withdrawn					
HGNC:29647	MAGI3	membrane associated guanylate kinase, WW and PDZ domain containing 3		MAGI-3	1p13.2	260425	NM_152900
HGNC:30006	MAGIX	MAGI family member, X-linked		PDZX, JM10, FLJ21687	Xp11.23	79917	NM_024859
HGNC:6815	MAGOH	mago homolog, exon junction complex core component		MAGOHA, MAGOH1	1p32.3	4116	NM_002370
HGNC:30148	MAGOH2P	mago homolog 2, pseudogene	MAGOH2		17p13.1	100506898	NR_049723
HGNC:20020	MAGOH3P	mago homolog 3, pseudogene	MAGOHP	MAGOHP1	14q24.1	90352	NG_002581
HGNC:25504	MAGOHB	mago homolog B, exon junction complex core component		FLJ10292, MGN2	12p13.2	55110	NM_018048
HGNC:28880	MAGT1	magnesium transporter 1		DKFZp564K142, IAP, OST3B, MRX95	Xq21.1	84061	NM_032121
HGNC:26198	MAIP1	matrix AAA peptidase interacting protein 1	C2orf47	DKFZp666A212, FLJ22555	2q33.1	79568	NM_024520
HGNC:27441	MAJIN	membrane anchored junction protein	C11orf85		11q13.1	283129	NM_001037225
HGNC:6816	MAK	male germ cell associated kinase		dJ417M14.2, RP62	6p24.2	4117	NM_005906
HGNC:13703	MAK16	MAK16 homolog	RBM13	MAK16L	8p12	84549	NM_032509
HGNC:6817	MAL	mal, T cell differentiation protein			2q11.1	4118	NM_002371
HGNC:13634	MAL2	mal, T cell differentiation protein 2 (gene/pseudogene)			8q24.12	114569	NM_052886
HGNC:53626	MAL2-AS1	MAL2 antisense RNA 1			8q24.12	105375726	
HGNC:29665	MALAT1	metastasis associated lung adenocarcinoma transcript 1 (non-protein coding)		PRO1073, MALAT-1, NCRNA00047, HCN, NEAT2, LINC00047, mascRNA	11q13.1	378938	NR_002819
HGNC:49009	MALINC1	mitosis associated long intergenic non-coding RNA 1	LINC01024	MA-linc1	5q31.2	100505636	NR_102739
HGNC:6818	MALL	mal, T cell differentiation protein like		BENE	2q13	7851	NM_005434
HGNC:24331	MALRD1	MAM and LDL receptor class A domain containing 1	C10orf112	bA265G8.2, Diet1	10p12.31	340895	XM_295865
HGNC:21721	MALSU1	mitochondrial assembly of ribosomal large subunit 1	C7orf30	mtRsfA	7p15.3	115416	NM_138446
HGNC:6819	MALT1	MALT1 paracaspase	MLT	PCASP1	18q21.32	10892	NM_006785
HGNC:6820	MAM~withdrawn	symbol withdrawn, see SGCG					
HGNC:23673	MAMDC2	MAM domain containing 2		MGC21981	9q21.12	256691	NM_153267
HGNC:48719	MAMDC2-AS1	MAMDC2 antisense RNA 1			9q21.12	100507244	
HGNC:24083	MAMDC4	MAM domain containing 4		AEGP, DKFZp434M1411	9q34.3	158056	NM_206920
HGNC:13632	MAML1	mastermind like transcriptional coactivator 1		KIAA0200, Mam-1	5q35.3	9794	NM_014757
HGNC:16259	MAML2	mastermind like transcriptional coactivator 2		KIAA1819, MAM3	11q21	84441	
HGNC:16272	MAML3	mastermind like transcriptional coactivator 3	TNRC3	KIAA1816, MAM2, CAGH3, GDN	4q31.1	55534	
HGNC:2568	MAMLD1	mastermind like domain containing 1	CXorf6	CG1, F18	Xq28	10046	NM_005491
HGNC:26689	MAMSTR	MEF2 activating motif and SAP domain containing transcriptional regulator		MASTR, FLJ36070	19q13.33	284358	NM_182574
HGNC:6821	MAN1A1	mannosidase alpha class 1A member 1			6q22.31	4121	NM_005907
HGNC:6822	MAN1A2	mannosidase alpha class 1A member 2		MAN1B	1p12	10905	NM_006699
HGNC:50488	MAN1A2P1	mannosidase alpha class 1A member 2 pseudogene 1			19q12	100129507	
HGNC:6823	MAN1B1	mannosidase alpha class 1B member 1		MANA-ER, MRT15, ERManI	9q34.3	11253	NM_016219
HGNC:48715	MAN1B1-AS1	MAN1B1 antisense RNA 1 (head to head)			9q34.3	100289341	NR_027447
HGNC:19080	MAN1C1	mannosidase alpha class 1C member 1		HMIC	1p36.11	57134	NM_020379
HGNC:6824	MAN2A1	mannosidase alpha class 2A member 1	MANA2	GOLIM7	5q21.3	4124	
HGNC:6825	MAN2A2	mannosidase alpha class 2A member 2		MANA2X, HsT19662	15q25	4122	NM_006122
HGNC:6826	MAN2B1	mannosidase alpha class 2B member 1	MANB	LAMAN	19p13.13	4125	
HGNC:29623	MAN2B2	mannosidase alpha class 2B member 2		KIAA0935	4p16.1	23324	NM_015274
HGNC:6827	MAN2C1	mannosidase alpha class 2C member 1	MANA1, MANA		15q24.2	4123	
HGNC:6828	MANA1~withdrawn	symbol withdrawn, see MAN2C1					
HGNC:6829	MANA2~withdrawn	symbol withdrawn, see MAN2A1					
HGNC:6830	MANB~withdrawn	symbol withdrawn, see MAN2B1					
HGNC:6831	MANBA	mannosidase beta			4q24	4126	NM_005908
HGNC:15799	MANBAL	mannosidase beta like		dJ1141E15.2	20q11.23	63905	NM_022077
HGNC:6832	MANBB~withdrawn	entry withdrawn					
HGNC:21072	MANEA	mannosidase endo-alpha		FLJ12838, mandaselin	6q16.1	79694	NM_024641
HGNC:43732	MANEA-AS1	MANEA antisense RNA 1 (head to head)			6q16.1	101927288	NR_047502
HGNC:26452	MANEAL	mannosidase endo-alpha like		FLJ31434	1p34.3	149175	NM_152496
HGNC:15461	MANF	mesencephalic astrocyte derived neurotrophic factor	ARMET	ARP	3p21.2	7873	NM_006010
HGNC:25505	MANSC1	MANSC domain containing 1		FLJ10298, LOH12CR3	12p13.2	54682	NM_018050
HGNC:40023	MANSC4	MANSC domain containing 4			12p11.22	100287284	
HGNC:6833	MAOA	monoamine oxidase A			Xp11.3	4128	NM_000240
HGNC:6834	MAOB	monoamine oxidase B			Xp11.3	4129	NM_000898
HGNC:6835	MAP1A	microtubule associated protein 1A	MAP1L		15q15.3	4130	NM_002373
HGNC:6836	MAP1B	microtubule associated protein 1B		MAP5, PPP1R102	5q13.2	4131	NM_005909
HGNC:6837	MAP1L~withdrawn	symbol withdrawn, see MAP1A					
HGNC:6838	MAP1LC3A	microtubule associated protein 1 light chain 3 alpha		MAP1BLC3, MAP1ALC3, LC3, LC3A, ATG8E	20q11.22	84557	NM_181509
HGNC:13352	MAP1LC3B	microtubule associated protein 1 light chain 3 beta		ATG8F	16q24.2	81631	
HGNC:34390	MAP1LC3B2	microtubule associated protein 1 light chain 3 beta 2		ATG8G	12q24.22	643246	NM_001085481
HGNC:49783	MAP1LC3BP1	microtubule associated protein 1 light chain 3 beta pseudogene 1			9p22.1	392288	
HGNC:13353	MAP1LC3C	microtubule associated protein 1 light chain 3 gamma		ATG8J	1q43	440738	NM_001004343
HGNC:31004	MAP1LC3P	microtubule associated protein 1 light chain 3 pseudogene		HsT312	18q21.2	387615	
HGNC:15715	MAP1S	microtubule associated protein 1S	C19orf5, VCY2IP1, BPY2IP1	FLJ10669, MAP8	19p13.12	55201	NM_018174
HGNC:6839	MAP2	microtubule associated protein 2		MAP2A, MAP2B, MAP2C	2q34	4133	NM_001039538
HGNC:6840	MAP2K1	mitogen-activated protein kinase kinase 1	PRKMK1	MEK1, MAPKK1	15q22.31	5604	
HGNC:6841	MAP2K1P1	mitogen-activated protein kinase kinase 1 pseudogene 1			8p12	29778	NG_001273
HGNC:6842	MAP2K2	mitogen-activated protein kinase kinase 2	PRKMK2	MEK2	19p13.3	5605	
HGNC:6843	MAP2K3	mitogen-activated protein kinase kinase 3	PRKMK3	MEK3, MKK3, MAPKK3	17p11.2	5606	NM_145109
HGNC:6844	MAP2K4	mitogen-activated protein kinase kinase 4	SERK1	MEK4, JNKK1, PRKMK4, MKK4	17p12	6416	
HGNC:43837	MAP2K4P1	mitogen-activated protein kinase kinase 4 pseudogene 1			Xq13.2	139201	
HGNC:6845	MAP2K5	mitogen-activated protein kinase kinase 5	PRKMK5	MEK5, MAPKK5, HsT17454	15q23	5607	NM_145162
HGNC:6846	MAP2K6	mitogen-activated protein kinase kinase 6	PRKMK6	MEK6, MKK6, SAPKK3, MAPKK6	17q24.3	5608	NM_002758
HGNC:6847	MAP2K7	mitogen-activated protein kinase kinase 7	PRKMK7	MKK7, Jnkk2	19p13.2	5609	
HGNC:6848	MAP3K1	mitogen-activated protein kinase kinase kinase 1	MEKK1	MEKK, MAPKKK1	5q11.2	4214	XM_042066
HGNC:6854	MAP3K2	mitogen-activated protein kinase kinase kinase 2	MEKK2	MEKK2B	2q14.3	10746	NM_006609
HGNC:6855	MAP3K3	mitogen-activated protein kinase kinase kinase 3	MEKK3	MAPKKK3	17q23.3	4215	NM_002401
HGNC:6856	MAP3K4	mitogen-activated protein kinase kinase kinase 4	MEKK4	MTK1, MAPKKK4, KIAA0213	6q26	4216	
HGNC:6857	MAP3K5	mitogen-activated protein kinase kinase kinase 5	MEKK5	MAPKKK5, ASK1	6q23.3	4217	
HGNC:6858	MAP3K6	mitogen-activated protein kinase kinase kinase 6		MAPKKK6, ASK2, MEKK6	1p36.11	9064	NM_004672
HGNC:6859	MAP3K7	mitogen-activated protein kinase kinase kinase 7	TAK1	MEKK7	6q15	6885	NM_145331
HGNC:16457	MAP3K7CL	MAP3K7 C-terminal like	C21orf7	TAKL, TAK1L, TAKL-1, TAKL-2, TAKL-4	21q21.3	56911	NM_020152
HGNC:6860	MAP3K8	mitogen-activated protein kinase kinase kinase 8	COT, ESTF	Tpl-2, EST, c-COT, MEKK8	10p11.23	1326	NM_005204
HGNC:6861	MAP3K9	mitogen-activated protein kinase kinase kinase 9	MLK1	PRKE1, MEKK9	14q24.2	4293	
HGNC:6849	MAP3K10	mitogen-activated protein kinase kinase kinase 10	MLK2	MST, MEKK10	19q13.2	4294	NM_002446
HGNC:6850	MAP3K11	mitogen-activated protein kinase kinase kinase 11	MLK3, PTK1	SPRK, MEKK11	11q13.1	4296	
HGNC:6851	MAP3K12	mitogen-activated protein kinase kinase kinase 12	ZPK	MUK, DLK, ZPKP1, MEKK12	12q13.13	7786	NM_006301
HGNC:6852	MAP3K13	mitogen-activated protein kinase kinase kinase 13		LZK, MEKK13	3q27.2	9175	NM_004721
HGNC:6853	MAP3K14	mitogen-activated protein kinase kinase kinase 14		NIK, HSNIK, FTDCR1B, HS	17q21.31	9020	NM_003954
HGNC:44359	MAP3K14-AS1	MAP3K14 antisense RNA 1			17q21.31	100133991	NR_024434
HGNC:31689	MAP3K15	mitogen-activated protein kinase kinase kinase 15		bA723P2.3, FLJ16518, ASK3	Xp22.12	389840	NM_001001671
HGNC:26249	MAP3K19	mitogen-activated protein kinase kinase kinase 19	YSK4	FLJ23074, RCK	2q21.3	80122	NM_025052
HGNC:17797	MAP3K20	mitogen-activated protein kinase kinase kinase 20		MLTKalpha, MLTKbeta, ZAK, MLTK, MLK7, MRK	2q31.1	51776	NM_016653
HGNC:27935	MAP3K20-AS1	MAP3K20 antisense RNA 1	MLK7-AS1		2q31.1	339751	NR_033882
HGNC:29798	MAP3K21	mitogen-activated protein kinase kinase kinase 21		KIAA1804, MLK4	1q42.2	84451	NM_032435
HGNC:6862	MAP4	microtubule associated protein 4			3p21.31	4134	NM_002375
HGNC:6863	MAP4K1	mitogen-activated protein kinase kinase kinase kinase 1		HPK1	19q13.1-q13.4	11184	NM_001042600
HGNC:6864	MAP4K2	mitogen-activated protein kinase kinase kinase kinase 2	RAB8IP	GCK, BL44	11q13.1	5871	NM_004579
HGNC:6865	MAP4K3	mitogen-activated protein kinase kinase kinase kinase 3	RAB8IPL1	GLK, MAPKKKK3	2p22.1	8491	NM_003618
HGNC:6866	MAP4K4	mitogen-activated protein kinase kinase kinase kinase 4		HGK, NIK, FLH21957	2q11.2	9448	NM_004834
HGNC:6867	MAP4K5	mitogen-activated protein kinase kinase kinase kinase 5		KHS1, GCKR, KHS	14q22.1	11183	NM_006575
HGNC:6868	MAP6	microtubule associated protein 6		KIAA1878, STOP, FLJ41346, MAP6-N	11q13.5	4135	NM_033063
HGNC:25753	MAP6D1	MAP6 domain containing 1		FLJ12748, SL21	3q27.1	79929	NM_024871
HGNC:6869	MAP7	microtubule associated protein 7		E-MAP-115	6q23.3	9053	NM_003980
HGNC:25514	MAP7D1	MAP7 domain containing 1	PARCC1, RPRC1	FLJ10350, FLJ39022	1p34.3	55700	NM_018067
HGNC:25899	MAP7D2	MAP7 domain containing 2		FLJ14503	Xp22.12	256714	NM_152780
HGNC:25742	MAP7D3	MAP7 domain containing 3		FLJ12649	Xq26.3	79649	
HGNC:26118	MAP9	microtubule associated protein 9		ASAP, FLJ21159	4q32.1	79884	NM_001039580
HGNC:29265	MAP10	microtubule associated protein 10	KIAA1383	MTR120	1q42.2	54627	NM_019090
HGNC:6870	MAPE~withdrawn	symbol withdrawn, see PRAME					
HGNC:6871	MAPK1	mitogen-activated protein kinase 1	PRKM2, PRKM1	ERK, ERK2, p41mapk, MAPK2	22q11.22	5594	
HGNC:19840	MAPK1IP1L	mitogen-activated protein kinase 1 interacting protein 1 like	C14orf32		14q22.3	93487	NM_144578
HGNC:6877	MAPK3	mitogen-activated protein kinase 3	PRKM3	ERK1, p44mapk, p44erk1	16p11.2	5595	
HGNC:6878	MAPK4	mitogen-activated protein kinase 4	PRKM4	Erk3-related, Erk4	18q21.1-q21.2	5596	NM_002747
HGNC:6879	MAPK6	mitogen-activated protein kinase 6	PRKM6	ERK3, p97MAPK, HsT17250	15q21.2	5597	NM_002748
HGNC:18980	MAPK6PS1	mitogen-activated protein kinase 6 pseudogene 1		Erk3ps1	8q11.23	317686	NG_002454
HGNC:16756	MAPK6PS2	mitogen-activated protein kinase 6 pseudogene 2			21q21.1	254664	NG_002448
HGNC:18977	MAPK6PS3	mitogen-activated protein kinase 6 pseudogene 3			13q14.11	317684	NG_002453
HGNC:18456	MAPK6PS4	mitogen-activated protein kinase 6 pseudogene 4		Erk3ps4	8q11.1	286065	NG_002451
HGNC:18979	MAPK6PS5	mitogen-activated protein kinase 6 pseudogene 5			8q23	286156	NG_002452
HGNC:18978	MAPK6PS6	mitogen-activated protein kinase 6 pseudogene 6			10q11.23	282967	NG_002449
HGNC:6880	MAPK7	mitogen-activated protein kinase 7	PRKM7	BMK1, ERK5	17p11.2	5598	NM_139033
HGNC:6881	MAPK8	mitogen-activated protein kinase 8	PRKM8	JNK, JNK1, SAPK1	10q11.22	5599	
HGNC:6882	MAPK8IP1	mitogen-activated protein kinase 8 interacting protein 1	PRKM8IP	IB1, JIP-1, JIP1	11p11.2	9479	NM_005456
HGNC:6885	MAPK8IP1P1	mitogen-activated protein kinase 8 interacting protein 1 pseudogene 1	PRKM8IPP, MAPK8IPP		17q21.31	644253	NG_022469
HGNC:52402	MAPK8IP1P2	mitogen-activated protein kinase 8 interacting protein 1 pseudogene 2			17q21.31	644172	
HGNC:6883	MAPK8IP2	mitogen-activated protein kinase 8 interacting protein 2	PRKM8IPL	IB2, JIP2	22q13.33	23542	NM_012324
HGNC:6884	MAPK8IP3	mitogen-activated protein kinase 8 interacting protein 3		KIAA1066, JSAP1, JIP3, syd	16p13.3	23162	NM_001040439
HGNC:6886	MAPK9	mitogen-activated protein kinase 9	PRKM9	JNK2, p54a, SAPK	5q35.3	5601	
HGNC:6872	MAPK10	mitogen-activated protein kinase 10	PRKM10	JNK3, p493F12, p54bSAPK	4q21.3	5602	
HGNC:6873	MAPK11	mitogen-activated protein kinase 11	PRKM11	p38-2, p38Beta, SAPK2	22q13.33	5600	
HGNC:6874	MAPK12	mitogen-activated protein kinase 12	SAPK3	ERK6, PRKM12, p38gamma, SAPK-3	22q13.33	6300	NM_002969
HGNC:6875	MAPK13	mitogen-activated protein kinase 13	PRKM13	SAPK4, p38delta	6p21.31	5603	
HGNC:6876	MAPK14	mitogen-activated protein kinase 14	CSPB1, CSBP1, CSBP2	PRKM14, p38, Mxi2, PRKM15	6p21.31	1432	NM_001315
HGNC:24667	MAPK15	mitogen-activated protein kinase 15		ERK8, ERK7	8q24.3	225689	NM_139021
HGNC:18752	MAPKAP1	mitogen-activated protein kinase associated protein 1		MGC2745, SIN1, MIP1	9q33.3	79109	
HGNC:6887	MAPKAPK2	mitogen-activated protein kinase-activated protein kinase 2			1q32.1	9261	NM_004759
HGNC:6888	MAPKAPK3	mitogen-activated protein kinase-activated protein kinase 3		3pK, MAPKAP3, 3PK	3p21.2	7867	NM_004635
HGNC:6889	MAPKAPK5	mitogen-activated protein kinase-activated protein kinase 5		PRAK	12q24.12-q24.13	8550	NM_139078
HGNC:24091	MAPKAPK5-AS1	MAPKAPK5 antisense RNA 1	C12orf47	FLJ39616	12q24.12	51275	NR_015404
HGNC:45246	MAPKAPK5P1	mitogen-activated protein kinase-activated protein kinase 5 pseudogene 1			10q25.1	100533849	NG_028758
HGNC:29536	MAPKBP1	mitogen-activated protein kinase binding protein 1		KIAA0596	15q15.1	23005	NM_014994
HGNC:6890	MAPRE1	microtubule associated protein RP/EB family member 1		EB1	20q11.21	22919	NM_012325
HGNC:29624	MAPRE1P1	MAPRE1 pseudogene 1	MAPRE1P		8q24.23	80327	NG_002682
HGNC:37761	MAPRE1P2	MAPRE1 pseudogene 2			4p15.1	642305	
HGNC:37762	MAPRE1P3	MAPRE1 pseudogene 3			2q24.3	100422229	NG_031906
HGNC:6891	MAPRE2	microtubule associated protein RP/EB family member 2		RP1, EB1, EB2	18q12.1-q12.2	10982	NM_014268
HGNC:6892	MAPRE3	microtubule associated protein RP/EB family member 3		RP3, EB3	2p23.3	22924	NM_012326
HGNC:6893	MAPT	microtubule associated protein tau	DDPAC, MAPTL	MTBT1, tau, PPND, FTDP-17, TAU, MSTD, MTBT2, FLJ31424, MGC138549, PPP1R103	17q21.31	4137	NM_016835
HGNC:43738	MAPT-AS1	MAPT antisense RNA 1			17q21.31	100128977	NR_024559
HGNC:43741	MAPT-IT1	MAPT intronic transcript 1			17q21.31	100130148	NR_024560
HGNC:6894	MAPTL~withdrawn	symbol withdrawn, see MAPT					
HGNC:26189	MARC1	mitochondrial amidoxime reducing component 1	MOSC1	FLJ22390	1q41	64757	NM_022746
HGNC:26064	MARC2	mitochondrial amidoxime reducing component 2	MOSC2	FLJ20605	1q41	54996	NM_017898
HGNC:26077	MARCH1	membrane associated ring-CH-type finger 1		FLJ20668, MARCH-I, RNF171	4q32.2-q32.3	55016	NM_017923
HGNC:28038	MARCH2	membrane associated ring-CH-type finger 2		HSPC240, MARCH-II, RNF172	19p13.2	51257	NM_016496
HGNC:28728	MARCH3	membrane associated ring-CH-type finger 3		MGC48332, MARCH-III, RNF173	5q23.2	115123	NM_178450
HGNC:29269	MARCH4	membrane associated ring-CH-type finger 4		KIAA1399, MARCH-IV, RNF174	2q35	57574	NM_020814
HGNC:26025	MARCH5	membrane associated ring-CH-type finger 5	RNF153	FLJ20445, MARCH-V, MITOL	10q23.32-q23.33	54708	NM_017824
HGNC:30550	MARCH6	membrane associated ring-CH-type finger 6		TEB4, MARCH-VI, RNF176	5p15.2	10299	NM_005885
HGNC:17393	MARCH7	membrane associated ring-CH-type finger 7	AXOT	MARCH-VII, RNF177	2q24.2	64844	NM_022826
HGNC:23356	MARCH8	membrane associated ring-CH-type finger 8	MIR	c-MIR, CMIR, MARCH-VIII, RNF178	10q11.21-q11.22	220972	NM_145021
HGNC:25139	MARCH9	membrane associated ring-CH-type finger 9		RNF179, FLJ36578	12q14.1	92979	NM_138396
HGNC:26655	MARCH10	membrane associated ring-CH-type finger 10	RNF190	FLJ35757, MARCH-X	17q23.3	162333	NM_152598
HGNC:33609	MARCH11	membrane associated ring-CH-type finger 11		MARCH-XI, RNF226	5p15.1	441061	NM_001102562
HGNC:6759	MARCKS	myristoylated alanine rich protein kinase C substrate	MACS	PKCSL, 80K-L	6q21	4082	NM_002356
HGNC:7142	MARCKSL1	MARCKS like 1	MLP	F52, MacMARCKS, MLP1	1p35.1	65108	NM_023009
HGNC:45239	MARCKSL1P1	MARCKS like 1 pseudogene 1			10q24.33	100913183	NG_032812
HGNC:45240	MARCKSL1P2	MARCKS like 1 pseudogene 2			6q24.1	100913182	NG_032810
HGNC:6760	MARCKSP1	myristoylated alanine rich protein kinase C substrate pseudogene 1	MACSL1		21q21.3	4083	
HGNC:6895	MARCO	macrophage receptor with collagenous structure		SCARA2, SR-A6	2q14.2	8685	NM_006770
HGNC:53644	MARCOL	MARCO like			5q32	105378220	
HGNC:29562	MARF1	meiosis regulator and mRNA stability factor 1	KIAA0430	LKAP, PPP1R34, Marf1, LMKB	16p13.11	9665	NM_014647
HGNC:6896	MARK1	microtubule affinity regulating kinase 1		MARK, PAR-1C	1q41	4139	
HGNC:3332	MARK2	microtubule affinity regulating kinase 2	EMK1	PAR-1, Par1b, PAR-1B	11q13.1	2011	NM_017490
HGNC:39792	MARK2P1	microtubule affinity regulating kinase 2 pseudogene 1			3p25.3	100421501	
HGNC:39793	MARK2P2	microtubule affinity regulating kinase 2 pseudogene 2			3p25.3	100421502	
HGNC:39794	MARK2P3	microtubule affinity regulating kinase 2 pseudogene 3			3q21.3	100421507	
HGNC:39795	MARK2P4	microtubule affinity regulating kinase 2 pseudogene 4			4q34.2	100421496	
HGNC:39796	MARK2P5	microtubule affinity regulating kinase 2 pseudogene 5			5p15.1	100421485	
HGNC:39797	MARK2P6	microtubule affinity regulating kinase 2 pseudogene 6			3q21.3	100421500	
HGNC:39798	MARK2P7	microtubule affinity regulating kinase 2 pseudogene 7			7p14.2	100421531	NG_026553
HGNC:39799	MARK2P8	microtubule affinity regulating kinase 2 pseudogene 8			3q21.3	100421498	
HGNC:39800	MARK2P9	microtubule affinity regulating kinase 2 pseudogene 9			10q23.33	100507674	
HGNC:39801	MARK2P10	microtubule affinity regulating kinase 2 pseudogene 10			7q21.3	402679	
HGNC:39802	MARK2P11	microtubule affinity regulating kinase 2 pseudogene 11			5q33.3	100421484	NG_024636
HGNC:39803	MARK2P12	microtubule affinity regulating kinase 2 pseudogene 12			13q22.1	100421565	
HGNC:39804	MARK2P13	microtubule affinity regulating kinase 2 pseudogene 13			7p14.2	100631260	
HGNC:44495	MARK2P14	microtubule affinity regulating kinase 2 pseudogene 14			3p25.2	100631261	
HGNC:45119	MARK2P15	microtubule affinity regulating kinase 2 pseudogene 15			10q23.1	100533794	NG_028751
HGNC:45171	MARK2P16	microtubule affinity regulating kinase 2 pseudogene 16			10q23.31	100533795	NG_028752
HGNC:50318	MARK2P17	microtubule affinity regulating kinase 2 pseudogene 17			3q21.3	100421499	
HGNC:6897	MARK3	microtubule affinity regulating kinase 3		CTAK1, KP78, PAR-1A	14q32.32-q32.33	4140	NM_001128918
HGNC:50312	MARK3P1	microtubule affinity regulating kinase 3 pseudogene 1			12q13.11	100421550	
HGNC:50313	MARK3P2	microtubule affinity regulating kinase 3 pseudogene 2			3p25.2	100421503	
HGNC:50314	MARK3P3	microtubule affinity regulating kinase 3 pseudogene 3			3q21.3	100533754	
HGNC:13538	MARK4	microtubule affinity regulating kinase 4	MARKL1	Nbla00650, FLJ90097, KIAA1860, PAR-1D	19q13.32	57787	NM_031417
HGNC:6898	MARS	methionyl-tRNA synthetase		MetRS, SPG70, CMT2U	12q13.3	4141	NM_004990
HGNC:25133	MARS2	methionyl-tRNA synthetase 2, mitochondrial		mtMetRS, SPAX3	2q33.1	92935	NM_138395
HGNC:28674	MARVELD1	MARVEL domain containing 1	MRVLDC1	MGC4415, GB14, FLJ23440, FLJ22343, bA548K23.8	10q24.2	83742	NM_031484
HGNC:26401	MARVELD2	MARVEL domain containing 2	MRVLDC2, DFNB49	FLJ30532, TRIC	5q13.2	153562	NM_144724
HGNC:30525	MARVELD3	MARVEL domain containing 3	MRVLDC3		16q22.2	91862	NM_052858
HGNC:6899	MAS1	MAS1 proto-oncogene, G protein-coupled receptor			6q25.3	4142	NM_002377
HGNC:13961	MAS1L	MAS1 proto-oncogene like, G protein-coupled receptor		MAS-L, MRG, dJ994E9.2	6p22.1	116511	NM_052967
HGNC:33448	MAS1LP1	MAS1L pseudogene 1	MAS1LP	OTTHUMG00000086553	6p22.1	646366	NG_009738
HGNC:6900	MASA~withdrawn	symbol withdrawn, see L1CAM					
HGNC:6901	MASP1	mannan binding lectin serine peptidase 1	CRARF, PRSS5	MASP	3q27.3	5648	NM_001879
HGNC:18574	MASP1P1~withdrawn	symbol withdrawn, see MASP2					
HGNC:6902	MASP2	mannan binding lectin serine peptidase 2	MASP1P1		1p36.22	10747	NM_006610
HGNC:19034	MAST1	microtubule associated serine/threonine kinase 1		SAST, KIAA0973	19p13.2	22983	NM_014975
HGNC:19035	MAST2	microtubule associated serine/threonine kinase 2		MAST205, KIAA0807	1p34.1	23139	NM_015112
HGNC:19036	MAST3	microtubule associated serine/threonine kinase 3		KIAA0561	19p13.11	23031	XM_038150
HGNC:19037	MAST4	microtubule associated serine/threonine kinase family member 4		KIAA0303	5q12.3	375449	
HGNC:40865	MAST4-AS1	MAST4 antisense RNA 1			5q12.3	101928794	
HGNC:41448	MAST4-IT1	MAST4 intronic transcript 1			5q12.3		
HGNC:19042	MASTL	microtubule associated serine/threonine kinase like		FLJ14813, THC2, Gwl	10p12.1	84930	NM_032844
HGNC:6903	MAT1A	methionine adenosyltransferase 1A		MAT, SAMS, MATA1, SAMS1	10q22.3	4143	NM_000429
HGNC:6904	MAT2A	methionine adenosyltransferase 2A		SAMS2, MATA2, MATII	2p11.2	4144	NM_005911
HGNC:6905	MAT2B	methionine adenosyltransferase 2B		MATIIbeta, SDR23E1	5q34	27430	NM_013283
